t, acceleration, velocity
7.860000,0.218604,1.721929
7.870000,0.218604,1.724115
7.880000,0.218603,1.726301
7.890000,0.218603,1.728487
7.900000,0.218602,1.730673
7.910000,0.218602,1.732859
7.920000,0.218602,1.735045
7.930000,0.218601,1.737231
7.940000,0.218601,1.739417
7.950000,0.218600,1.741603
7.960000,0.218600,1.743789
7.970000,0.218599,1.745975
7.980000,0.218599,1.748161
7.990000,0.218598,1.750347
8.000000,0.218598,1.752533
8.010000,0.218597,1.754719
8.020000,0.218597,1.756905
8.030000,0.218596,1.759091
8.040000,0.218596,1.761277
8.050000,0.218595,1.763463
8.060000,0.218595,1.765649
8.070000,0.218594,1.767835
8.080000,0.218594,1.770021
8.090000,0.218593,1.772207
8.100000,0.218593,1.774393
8.110000,0.218592,1.776579
8.120000,0.218592,1.778765
8.130000,0.218591,1.780950
8.140000,0.218591,1.783136
8.150000,0.218590,1.785322
8.160000,0.218590,1.787508
8.170000,0.218589,1.789694
8.180000,0.218589,1.791880
8.190000,0.218588,1.794066
8.200000,0.218588,1.796252
8.210000,0.218587,1.798438
8.220000,0.218587,1.800624
8.230000,0.218586,1.802809
8.240000,0.218586,1.804995
8.250000,0.218585,1.807181
8.260000,0.218585,1.809367
8.270000,0.218584,1.811553
8.280000,0.218584,1.813739
8.290000,0.218583,1.815925
8.300000,0.218583,1.818110
8.310000,0.218583,1.820296
8.320000,0.218582,1.822482
8.330000,0.218582,1.824668
8.340000,0.218581,1.826854
8.350000,0.218581,1.829039
8.360000,0.218580,1.831225
8.370000,0.218580,1.833411
8.380000,0.218579,1.835597
8.390000,0.218579,1.837783
8.400000,0.218578,1.839968
8.410000,0.218578,1.842154
8.420000,0.218577,1.844340
8.430000,0.218577,1.846526
8.440000,0.218576,1.848712
8.450000,0.218576,1.850897
8.460000,0.218575,1.853083
8.470000,0.218575,1.855269
8.480000,0.218574,1.857455
8.490000,0.218574,1.859640
8.500000,0.218573,1.861826
8.510000,0.218573,1.864012
8.520000,0.218572,1.866197
8.530000,0.218572,1.868383
8.540000,0.218571,1.870569
8.550000,0.218571,1.872755
8.560000,0.218570,1.874940
8.570000,0.218570,1.877126
8.580000,0.218569,1.879312
8.590000,0.218569,1.881497
8.600000,0.218568,1.883683
8.610000,0.218568,1.885869
8.620000,0.218567,1.888054
8.630000,0.218567,1.890240
8.640000,0.218566,1.892426
8.650000,0.218566,1.894612
8.660000,0.218565,1.896797
8.670000,0.218565,1.898983
8.680000,0.218564,1.901168
8.690000,0.218564,1.903354
8.700000,0.218564,1.905540
8.710000,0.218563,1.907725
8.720000,0.218563,1.909911
8.730000,0.218562,1.912097
8.740000,0.218562,1.914282
8.750000,0.218561,1.916468
8.760000,0.218561,1.918653
8.770000,0.218560,1.920839
8.780000,0.218560,1.923025
8.790000,0.218559,1.925210
8.800000,0.218559,1.927396
8.810000,0.218558,1.929581
8.820000,0.218558,1.931767
8.830000,0.218557,1.933953
8.840000,0.218557,1.936138
8.850000,0.218556,1.938324
8.860000,0.218556,1.940509
8.870000,0.218555,1.942695
8.880000,0.218555,1.944880
8.890000,0.218554,1.947066
8.900000,0.218554,1.949252
8.910000,0.218553,1.951437
8.920000,0.218553,1.953623
8.930000,0.218552,1.955808
8.940000,0.218552,1.957994
8.950000,0.218551,1.960179
8.960000,0.218551,1.962365
8.970000,0.218550,1.964550
8.980000,0.218550,1.966736
8.990000,0.218549,1.968921
9.000000,0.218549,1.971107
9.010000,0.218548,1.973292
9.020000,0.218548,1.975478
9.030000,0.218547,1.977663
9.040000,0.218547,1.979849
9.050000,0.218546,1.982034
9.060000,0.218546,1.984220
9.070000,0.218545,1.986405
9.080000,0.218545,1.988590
9.090000,0.218545,1.990776
9.100000,0.218544,1.992961
9.110000,0.218544,1.995147
9.120000,0.218543,1.997332
9.130000,0.218543,1.999518
9.140000,0.218542,2.001703
9.150000,0.218542,2.003889
9.160000,0.218541,2.006074
9.170000,0.218541,2.008259
9.180000,0.218540,2.010445
9.190000,0.218540,2.012630
9.200000,0.218539,2.014816
9.210000,0.218539,2.017001
